"Root","WER","CER","SpeakerID","Component","Age","Gender","BirthPlace"
"fn000826",0.6350975036621094,0.3552407920360565,"N000320","comp-p","45.0","F","HKG"
"fn000827",0.3874458968639374,0.1625844538211822,"N000320","comp-q","45.0","F","HKG"
"fv160136",0.3131313025951385,0.1548848301172256,"V000143","comp-p","88.0","F","BEL"
"fv170136",0.2626025676727295,0.1305518150329589,"V000143","comp-q","88.0","F","BEL"
"fv160027",0.5924170613288879,0.3160333633422851,"V000046","comp-p","16.0","M","BEL"
"fv170027",0.1374113410711288,0.0560825429856777,"V000046","comp-q","16.0","M","BEL"
"fn000863",0.385135143995285,0.2053175717592239,"N000336","comp-p","29.0","F","RUS"
"fn000864",0.4446878433227539,0.1656595170497894,"N000336","comp-q","29.0","F","RUS"
"fv160014",0.1215469613671302,0.0465631932020187,"V000073","comp-q","11.0","M","BEL"
"fv160037",0.2268292754888534,0.1103482097387313,"V000073","comp-p","11.0","M","BEL"
"fv160172",0.1594746708869934,0.0690518766641616,"V000180","comp-p","71.0","F","BEL"
"fv170167",0.0448791719973087,0.0128177739679813,"V000180","comp-q","71.0","F","BEL"
"fv170045",0.0673400685191154,0.0212949030101299,"V000051","comp-q","16.0","F","BEL"
"fv160045",0.1556802242994308,0.0735052078962326,"V000051","comp-p","16.0","F","BEL"
"fn000800",0.4210526347160339,0.2514619827270508,"N000308","comp-p","14.0","M","ISR"
"fn000801",0.3619361817836761,0.1546739786863327,"N000308","comp-q","14.0","M","ISR"
"fn000796",0.4375,0.236649215221405,"N000306","comp-p","15.0","F","IRQ"
"fn000797",0.3951271176338196,0.1649550646543502,"N000306","comp-q","15.0","F","IRQ"
"fn100185",0.183673471212387,0.0851633623242378,"N100043","comp-p","78.0","F","NL"
"fn100186",0.0329920351505279,0.0123897520825266,"N100043","comp-q","78.0","F","NL"
"fn000782",0.5654205679893494,0.2592010796070099,"N000300","comp-q","17.0","M","AFG"
"fn000781",0.5,0.2260869592428207,"N000300","comp-p","17.0","M","AFG"
"fv170054",0.2384341657161712,0.0944358259439468,"V000063","comp-q","27.0","F","BEL"
"fv160055",0.5310880541801453,0.3016931712627411,"V000063","comp-p","27.0","F","BEL"
"fv160111",0.2403100728988647,0.0901525691151619,"V000120","comp-p","11.0","F","BEL"
"fv170106",0.138376384973526,0.0486763454973697,"V000120","comp-q","11.0","F","BEL"
"fn000095",0.2231404930353164,0.1024464815855026,"N000045","comp-p","12.0","M","NL"
"fn000096",0.1895124167203903,0.0788610875606536,"N000045","comp-q","12.0","M","NL"
"fn100014",0.5729166865348816,0.1870370358228683,"N100005","comp-p","83.0","M","NL"
"fn100015",0.1703107059001922,0.0685405433177948,"N100005","comp-q","83.0","M","NL"
"fv160199",0.3246753215789795,0.1314496248960495,"V000219","comp-p","10.0","F","BEL"
"fv170199",0.2475409805774688,0.0935133323073387,"V000219","comp-q","10.0","F","BEL"
"fn000852",0.5102040767669678,0.2775453329086303,"N000331","comp-p","44.0","M","IRN"
"fn000853",0.4528875350952148,0.1933861970901489,"N000331","comp-q","44.0","M","IRN"
"fn100274",0.4334554374217987,0.2472428828477859,"N100068","comp-p","75.0","F","NL"
"fn100275",0.2129353284835815,0.094560831785202,"N100068","comp-q","75.0","F","NL"
"fn100327",0.3092550933361053,0.1653626561164856,"N100082","comp-q","95.0","M","DEU"
"fn100326",0.5420420169830322,0.298477441072464,"N100082","comp-p","95.0","M","DEU"
"fv160216",0.1646153777837753,0.0616207085549831,"V000226","comp-p","66.0","M","BEL"
"fv170204",0.0486111119389534,0.0154772140085697,"V000226","comp-q","66.0","M","BEL"
"fn100322",0.2089552283287048,0.095353677868843,"N100081","comp-p","74.0","F","NL"
"fn100323",0.0477272719144821,0.0159563291817903,"N100081","comp-q","74.0","F","NL"
"fn000644",0.2135922312736511,0.1129629611968994,"N000243","comp-p","12.0","M","NL"
"fn000645",0.1045296192169189,0.0415430255234241,"N000243","comp-q","12.0","M","NL"
"fv170114",0.2938931286334991,0.1333595663309097,"V000128","comp-q","8.0","M","BEL"
"fv160119",0.3805970251560211,0.1603498607873916,"V000128","comp-p","8.0","M","BEL"
"fn000126",0.2834891080856323,0.1586538404226303,"N000060","comp-p","10.0","M","NL"
"fn000127",0.2076813727617263,0.0914335176348686,"N000060","comp-q","10.0","M","NL"
"fn000507",0.2170753926038742,0.0997600257396698,"N000198","comp-q","10.0","F","NL"
"fn000506",0.343478262424469,0.1680814921855926,"N000198","comp-p","10.0","F","NL"
"fn000774",0.5786802172660828,0.3319587707519531,"N000297","comp-p","14.0","F","AFG"
"fn000775",0.4491440057754516,0.1946833431720733,"N000297","comp-q","14.0","F","AFG"
"fn000857",0.2160919606685638,0.0778532028198242,"N000333","comp-q","32.0","F","CZE"
"fn000856",0.3092105388641357,0.120525062084198,"N000333","comp-p","32.0","F","CZE"
