Root	SpeakerID	Component	Group	Age	Gender	CEF	DialectRegion	Duration (seconds)	Duration (days)
fv160000	V000006	comp-p	4	31	F	A1		411.364867	0.004761167
fv160001	V000005	comp-p	4	57	F	A2		594.6819174	0.006882893
fv160002	V000007	comp-p	4	44	F	A1		911.0457159	0.010544511
fv160003	V000008	comp-p	4	51	F	B1		428.5969185	0.004960612
fv160004	V000009	comp-p	4	29	M	B1		1379.279	0.015963877
fv160005	V000012	comp-p	4	36	M	B1		686.7763125	0.0079488
fv160006	V000013	comp-p	4	23	F	B1		403.1366875	0.004665934
fv160007	V000014	comp-p	4	40	F	B1		957.5894375	0.011083211
fv160008	V000011	comp-p	4	24	M	B1		642.5889375	0.007437372
fv160009	V000018	comp-p	4	38	M	A1		624.857	0.007232141
fv160010	V000016	comp-p	4	59	M	A1		355.5085	0.004114682
fv160011	V000020	comp-p	4	28	M	A2		436.6060625	0.005053311
fv160012	V000017	comp-p	4	47	F	A1		636.55475	0.007367532
fv160013	V000015	comp-p	4	22	F	A1		547.8643008	0.006341022
fv160014	V000073	comp-q	1	11	M		FL3	452.360875	0.005235658
fv160015	V000042	comp-p	2	13	M		FL1	262.2365	0.003035145
fv160016	V000044	comp-p	2	16	F		FL1	297.2053125	0.003439876
fv160017	V000044	comp-q	2	16	F		FL1	409.264625	0.004736859
fv160018	V000027	comp-p	3	14	F		FL3	473.9299375	0.0054853
fv160019	V000024	comp-p	2	12	F		FL3	413.8295002	0.004789693
fv160020	V000028	comp-p	3	15	F		FL3	304.58575	0.003525298
fv160021	V000029	comp-p	2	15	F		FL3	350.1630625	0.004052813
fv160022	V000030	comp-p	2	16	F		FL3	349.9913125	0.004050825
fv160023	V000026	comp-p	2	14	F		FL3	276.5495625	0.003200805
fv160024	V000031	comp-p	2	13	M		FL2	286.1889776	0.003312372
fv160025	V000032	comp-p	2	14	M		FL2	277.923125	0.003216703
fv160026	V000034	comp-p	2	15	M		FL2	286.8200625	0.003319677
fv160027	V000046	comp-p	2	16	M		FL2	337.5090625	0.003906355
fv160028	V000033	comp-p	3	16	M		FL2	416.797788	0.004824048
fv160029	V000040	comp-p	2	16	M		FL1	353.7484375	0.004094311
fv160030	V000038	comp-p	2	16	M		FL1	286.6766875	0.003318017
fv160031	V000037	comp-p	2	15	F		FL1	262.08725	0.003033417
fv160032	V000045	comp-p	2	16	F		FL1	245.8923125	0.002845976
fv160033	V000039	comp-p	2	16	F		FL1	427.9335748	0.004952935
fv160034	V000041	comp-p	2	15	M		FL1	250.29925	0.002896982
fv160035	V000035	comp-p	2	13	F		FL1	337.7379375	0.003909004
fv160036	V000043	comp-p	2	14	F		FL1	381.422125	0.004414608
fv160037	V000073	comp-p	1	11	M		FL3	337.9471093	0.003911425
fv160038	V000052	comp-p	4	36	F	A2		621.5585	0.007193964
fv160039	V000053	comp-p	4	45	F	A2		624.56825	0.007228799
fv160040	V000054	comp-p	4	22	F	A1		558.08675	0.006459337
fv160041	V000055	comp-p		46	M			386.6794375	0.004475456
fv160042	V000056	comp-p	4	31	F	A2		472.089125	0.005463995
fv160043	V000057	comp-p	4	32	F	A1		484.5996875	0.005608793
fv160044	V000059	comp-p	4	31	F	A2		788.5784812	0.009127066
fv160045	V000051	comp-p	2	16	F		FL2	466.6003125	0.005400467
fv160046	V000047	comp-p	2	17	F		FL2	337.1069375	0.003901701
fv160047	V000050	comp-p	2	13	F		FL2	294.538375	0.003409009
fv160048	V000048	comp-p	2	15	F		FL2	247.3200237	0.0028625
fv160049	V000049	comp-p	2	16	F		FL2	344.831375	0.003991104
fv160050	V000058	comp-p	4	30	F	B1		418.8416661	0.004847704
fv160051	V000060	comp-p	4	32	F	B1		375.33	0.004344097
fv160052	V000061	comp-p	4	27	M	A2		478.0644077	0.005533153
fv160053	V000062	comp-p	4	27	M	A2		371.1184375	0.004295352
fv160054	V000067	comp-p	4	23	F	B1		349.12475	0.004040796
fv160055	V000063	comp-p	4	27	F	B1		442.095	0.00511684
fv160056	V000064	comp-p	4	33	F	B1		462.413	0.005352002
fv160057	V000068	comp-p	1	7	F		FL3	593.865125	0.006873439
fv160058	V000069	comp-p	1	9	F		FL3	396.698091	0.004591413
fv160059	V000072	comp-p	1	8	F		FL3	345.4650625	0.003998438
fv160060	V000070	comp-p	3	8	M		FL3	446.896	0.005172407
fv160061	V000071	comp-p	1	8	M		FL3	367.6591875	0.004255315
fv160062	V000074	comp-p	1	11	F		FL3	256.3823125	0.002967388
fv160063	V000075	comp-p	2	12	M		FL3	365.9531775	0.004235569
fv160064	V000076	comp-p	1	10	M		FL3	316.6884375	0.003665375
fv160065	V000077	comp-p	1	10	F		FL3	263.4059375	0.00304868
fv160066	V000078	comp-p	1	7	M		FL3	401.2185	0.004643733
fv160069	V000105	comp-p	2	16	F		FL4	286.7363125	0.003318707
fv160070	V000098	comp-p	2	16	F		FL4	312.4793548	0.003616659
fv160071	V000104	comp-p	2	12	M		FL4	255.889	0.002961678
fv160072	V000099	comp-p	3	13	F		FL4	249.1935	0.002884184
fv160073	V000103	comp-p	2	14	F		FL4	245.7574375	0.002844415
fv160074	V000100	comp-p	2	16	M		FL3	273.8704375	0.003169797
fv160076	V000102	comp-p	2	14	M		FL4	260.719625	0.003017588
fv160077	V000102	comp-q	2	14	M		FL4	154.7286875	0.001790841
fv160079	V000087	comp-p	1	7	F		FL4	464.027226	0.005370685
fv160080	V000088	comp-p	1	7	F		FL4	548.2059375	0.006344976
fv160082	V000090	comp-p	1	8	M		FL4	497.6075625	0.005759347
fv160083	V000091	comp-p	1	8	F		FL4	288.3927741	0.003337879
fv160084	V000092	comp-p	1	9	F		FL4	277.01875	0.003206236
fv160085	V000093	comp-p	1	9	M		FL4	351.9404853	0.004073385
fv160086	V000094	comp-p	1	9	M		FL4	359.243	0.004157905
fv160090	V000106	comp-p	5	84	M		FL1	337.525	0.003906539
fv160091	V000107	comp-p	5	80	M		FL4	493.343125	0.00570999
fv160092	V000108	comp-p	5	76	F		FL4	415.1677132	0.004805182
fv160094	V000110	comp-p	5	83	F		FL4	466.7474629	0.00540217
fv160095	V000111	comp-p	5	81	F		FL3	477.1145625	0.005522159
fv160097	V000079	comp-p	5	75	F		FL3	363.667625	0.004209116
fv160098	V000084	comp-q	5	84	M		FL3	449.9065	0.005207251
fv160099	V000080	comp-p	5	79	M		FL3	480.2583125	0.005558545
fv160105	V000114	comp-p	3	10	F		FL1	338.265375	0.003915109
fv160106	V000115	comp-p	1	9	F		FL1	268.2705	0.003104983
fv160107	V000116	comp-p	1	9	M		FL1	351.9790625	0.004073832
fv160109	V000118	comp-p	1	8	F		FL1	311.3681026	0.003603797
fv160110	V000119	comp-p	1	8	M		FL1	256.8445625	0.002972738
fv160111	V000120	comp-p	1	11	F		FL2	258.9110625	0.002996656
fv160112	V000121	comp-p	1	11	M		FL2	255.9095246	0.002961916
fv160113	V000122	comp-p	3	8	M		FL3	353.514875	0.004091607
fv160114	V000123	comp-p	3	8	M		FL2	317.5648125	0.003675519
fv160115	V000124	comp-p	1	7	F		FL2	550.6475	0.006373235
fv160116	V000125	comp-p	1	9	F		FL2	406.4541875	0.004704331
fv160117	V000126	comp-p	3	9	M		FL2	378.0114375	0.004375132
fv160118	V000127	comp-p	3	9	M		FL2	349.6949048	0.004047395
fv160119	V000128	comp-p	1	8	M		FL2	373.60575	0.004324141
fv160120	V000129	comp-p	1	8	F		FL2	386.5349375	0.004473784
fv160121	V000130	comp-p	3	8	F		FL2	475.3304375	0.00550151
fv160122	V000131	comp-p	1	7	M		FL2	279.3774375	0.003233535
