word,lm_score,ngram_size,oov,silence_within,missed_speech_before,logits_median,start_time,end_time
gefeliciteerd,-3.4450526237487793,2,False,-0.08307592614418835,-0.2098776629840084,-2.0497560501098633,22.74,23.8
u,-2.294330358505249,3,False,,,-1.9820123314857483,24.6,24.62
mag,-2.6863021850585938,4,False,-0.3548202392835149,-0.1544171434966276,-2.5083305835723877,24.78,24.94
vandaag,-3.8702032566070557,3,False,-0.2841829049732739,-0.1444261469728725,-2.3910984992980957,25.08,25.56
een,-2.1033341884613037,3,False,,-0.11580163170567395,-2.320269465446472,25.66,25.78
reis,-4.065604209899902,2,False,-0.3052801892712019,-0.12753377725484485,-2.327305316925049,25.9,26.12
gaan,-2.1031887531280518,3,False,-0.2517132221183745,-0.12898401446044358,-2.6401287317276,26.22,26.48
kiezen,-3.9929890632629395,2,False,-0.23563103953206427,-0.12810326801573596,-2.159680724143982,26.58,26.9
ik,-2.8442678451538086,2,False,,,-2.2637574672698975,27.66,27.74
zal,-2.015899181365967,3,False,-0.2701575123572593,-0.12113534315419712,-2.326537847518921,27.84,28.0
u,-1.7728983163833618,3,False,,-0.14697594342335166,-2.109636664390564,28.12,28.14
daarbij,-2.8802950382232666,4,False,-0.2384043248408302,-0.09763628557363,-2.398200750350952,28.24,28.64
helpen,-0.9727979898452759,5,False,-0.3013804585422562,-0.1516529335631115,-2.338935971260071,28.8,29.18
waar,-3.7197659015655518,2,False,-0.38645762450986615,-0.20042601898761397,-2.2614524364471436,34.14,34.3
wilt,-3.67118239402771,2,False,-0.3071061807838605,-0.15442849600738615,-2.8509902954101562,34.48,34.72
u,-0.0910169780254364,3,False,,-0.08456205613138422,-2.2382267713546753,34.78,34.8
naar,-1.814231038093567,4,False,-0.36247494287160265,-0.17068948950562812,-2.3835288286209106,34.96,35.1
toe,-0.036402273923158646,5,False,,-0.1749231879625857,-2.353756546974182,35.24,35.32
ik,-2.952932357788086,3,False,-0.3262230448163636,-0.19024759296721783,-2.1472082138061523,38.2,38.34
wil,-1.2129665613174438,4,False,-0.3617948471604914,-0.17642000903864427,-2.5012409687042236,38.62,38.8
naar,-1.98799729347229,4,False,-0.49815768722049225,-0.21088984707702688,-2.142809271812439,39.14,39.3
istanbul,-4.669942378997803,2,False,-0.07873984355770149,-0.14039766516884097,-2.113338828086853,39.42,40.04
naar,-2.5283966064453125,2,False,-0.382019819599415,,-2.4523043632507324,40.66,40.8
toe,-2.584627628326416,2,False,,-0.18131541850193295,-2.3341554403305054,40.96,41.08
gaan,-1.408441424369812,3,False,-0.3123776358442831,-0.1685562711838541,-2.5754148960113525,41.2,41.42
istanbul,-6.514382839202881,2,False,-0.05492147584213641,-0.21554019262587626,-2.3233829736709595,44.7,45.52
een,-2.24786376953125,2,False,-0.4194430514135275,-0.17402220320608802,-2.2690911293029785,45.74,45.92
mooie,-3.2120392322540283,2,False,-0.26791612211684873,-0.0919253047870055,-1.882333219051361,46.0,46.2
stad,-2.4061038494110107,3,False,-0.35479950451273146,-0.18026091121259807,-2.4731422662734985,46.4,46.64
wat,-2.4688642024993896,4,False,-0.35775726983323214,,-2.63545298576355,47.5,47.66
vindt,-3.514824390411377,2,False,-0.2538224241440137,-0.12558076618217523,-2.086127996444702,47.74,47.94
u,-0.47792842984199524,3,False,,-0.14609803236438043,-2.3226252794265747,48.0,48.04
zo,-2.798722505569458,4,False,,-0.16427570363845662,-1.740630567073822,48.2,48.26
leuk,-3.087008237838745,3,False,-0.32759381132705007,-0.18223802105567521,-2.3446124792099,48.48,48.64
aan,-1.2762116193771362,4,False,,-0.12100142350165925,-2.077182173728943,48.74,48.82
istanbul,-6.788982391357422,2,False,-0.0608534441256287,-0.12325002558515433,-2.1755642890930176,48.92,49.68
denken,-3.9949986934661865,1,False,-0.042570523408038824,,-2.7189375162124634,50.4,50.9
de,-1.931896686553955,2,False,,-0.07039583296677457,-2.877320647239685,50.98,51.04
mensen,-0.9490026235580444,3,False,-0.28220103868947316,-0.047667531896573,-2.2108500003814697,51.1,51.5
het,-1.806100606918335,4,False,-0.368607821750988,-0.18709004081764682,-2.8595529794692993,51.84,52.02
weer,-3.285496234893799,3,False,-0.31172025221881006,-0.13934629789018468,-2.5503153800964355,52.14,52.3
of,-2.5480520725250244,3,False,-0.340624551971617,-0.08389307136540619,-2.8248804807662964,52.38,52.52
de,-0.769768476486206,4,False,,-0.09767755847135016,-3.0256264209747314,52.62,52.66
winkels,-4.248671531677246,3,False,-0.23693397115654483,-0.06805472660506541,-2.145877718925476,52.74,53.28
het,-2.0165228843688965,3,False,,-0.20573803573915111,-2.5521703958511353,56.06,56.18
weer,-3.079721450805664,2,False,-0.34464993122120546,-0.14927319634523412,-2.4881229400634766,56.34,56.58
het,-2.1642093658447266,3,False,,-0.21625912068727937,-2.811997890472412,56.94,57.06
weer,-2.519435167312622,4,False,-0.2683261164192434,-0.11337499434421058,-2.648565888404846,57.16,57.36
is,-2.255957841873169,3,False,,-0.12849249403976684,-2.3135125637054443,57.46,57.54
heel,-2.9390170574188232,3,False,-0.4642492539482699,-0.17371623774437284,-2.5535995960235596,57.8,57.94
mooi,-1.8232946395874023,3,False,-0.5751027533350217,-0.15986621099731477,-2.0971466302871704,58.12,58.36
ik,-1.8071998357772827,4,False,,-0.22057811690075843,-2.0820603370666504,64.12,64.22
heb,-0.5540274381637573,5,False,-0.28997091256346325,-0.1259164982924385,-2.1930644512176514,64.32,64.48
u,-2.8120689392089844,3,False,,-0.00792017470519786,-2.222659468650818,64.52,64.56
niet,-1.3636143207550049,4,False,-0.28369273626061065,-0.1425042632632702,-2.3478102684020996,64.66,64.86
verstaan,-2.0305755138397217,5,False,-0.11499760487240619,-0.11005489986921364,-2.4062238931655884,64.96,65.5
kunt,-4.456846237182617,2,False,-0.2944992585819418,,-1.9938894510269165,66.3,66.5
u,-0.567682683467865,3,False,,-0.13220172119174786,-2.0710848569869995,66.62,66.64
dat,-1.6277589797973633,3,False,-0.28952523328540464,-0.07205720643215076,-2.6054638624191284,66.72,66.9
nog,-1.657951831817627,4,False,,-0.08073245398468415,-2.26582670211792,66.98,67.08
een,-0.5782914161682129,5,False,-0.3201941957587545,-0.16916891507172885,-2.47939932346344,67.26,67.4
keer,-0.024316640570759773,5,False,-0.26057172426648867,-0.10946836061544862,-2.508279800415039,67.48,67.7
zeggen,-1.126703143119812,5,False,-0.26610441559549786,-0.09345964912110263,-2.1938724517822266,67.78,68.06
ik,-1.2547744512557983,5,False,,,-2.1723804473876953,68.88,69.0
denk,-1.1886191368103027,5,False,-0.2797649689713336,-0.0903829211486297,-2.370083808898926,69.1,69.36
aan,-2.304903507232666,4,False,-0.31521179615149203,-0.1341267806165227,-2.3120954036712646,69.52,69.74
het,-1.4858827590942383,4,False,-0.3486212496366913,-0.09621159953380064,-2.525903344154358,69.88,70.02
weer,-3.7296411991119385,3,False,-0.29630908744018436,-0.11209402878314462,-2.424142599105835,70.14,70.44
het,-2.4473040103912354,3,False,,-0.19444884291096728,-2.67256498336792,72.0,72.12
weer,-2.519435167312622,4,False,-0.28944751767468746,-0.13403098165823857,-2.3084315061569214,72.24,72.42
is,-2.255957841873169,3,False,-0.30682998830387187,-0.15089365896160692,-2.2229729890823364,72.54,72.72
heel,-2.9390170574188232,3,False,-0.3793660405374592,-0.19036582246845113,-2.510220527648926,72.96,73.18
mooi,-1.8232946395874023,3,False,-0.3499878327862755,-0.21242552274604698,-2.412230372428894,73.44,73.7
dagdat,-8.678133010864258,1,False,-0.04651053843284875,,-1.766993761062622,74.12,78.48
wilt,-3.4407830238342285,1,False,-0.30293712320038185,-0.09693185499455861,-2.736900568008423,78.56,78.8
u,-1.1452007293701172,2,False,,-0.09978827888538395,-2.0113978385925293,78.88,78.9
gaan,-2.047471046447754,3,False,-0.3062233452007599,-0.15861821316766753,-2.847882032394409,79.04,79.24
doen,-1.7727690935134888,4,False,-0.29007575910479894,-0.10975828986979361,-2.487579107284546,79.34,79.52
in,-2.6849873065948486,3,False,,0.022765056463454086,-2.2416865825653076,79.56,79.64
deze,-1.5021023750305176,4,False,-0.2601167661751626,-0.12693808061975556,-2.565053701400757,79.78,79.98
stad,-1.1974854469299316,4,False,-0.4419803966770931,-0.165285228971967,-2.461037278175354,80.16,80.4
denk,-4.322466850280762,4,False,-0.09843002910400038,,-2.5385831594467163,81.26,81.5
aan,-2.707015037536621,2,False,,-0.12780898349052877,-2.4156140089035034,81.6,81.72
iets,-1.8626511096954346,3,False,-0.22439080409031753,-0.07751313217761542,-2.431262493133545,81.78,81.98
dat,-1.3156262636184692,4,False,,-0.12687111382231364,-2.6743191480636597,82.1,82.22
u,-2.71862530708313,3,False,,-0.12293501427041462,-2.2028698921203613,82.32,82.34
wilt,-1.5122965574264526,4,False,-0.25693535446291865,-0.12847643702213385,-2.7460278272628784,82.44,82.68
zien,-1.941266655921936,5,False,-0.30147885342283876,-0.16978704925691007,-2.291472315788269,82.84,83.04
ik,-3.364100933074951,3,False,,-0.19667120233061364,-2.2292791604995728,86.94,87.06
wil,-1.135170578956604,4,False,-0.2594245069000816,-0.1468217026778855,-2.522145628929138,87.26,87.52
