Root,WER,SpeakerID,Age,Gender,BirthPlace
fv160027,0.6350710988044739,V000046,16.0,M,B-930
fn000095,0.2231404930353164,N000045,12.0,M,N-6531
fn000126,0.3271028101444244,N000060,10.0,M,N-5211
fv160033,0.3664122223854065,V000039,16.0,F,B-890
fv160015,0.2195121943950653,V000042,13.0,M,B-887
fn000048,0.4107142984867096,N000025,8.0,F,N-6531
fv160028,0.3289036452770233,V000033,16.0,M,B-118
fn000111,0.4326241016387939,N000052,11.0,M,N-6531
fn000146,0.3877550959587097,N000068,13.0,M,N-5211
fv160048,0.2283464521169662,V000048,15.0,F,B-970
fn000083,0.3172042965888977,N000040,10.0,M,N-6531
fv160046,0.264781504869461,V000047,17.0,F,B-990
fn000077,0.6541353464126587,N000037,8.0,F,N-1181
fn000109,0.2804878056049347,N000051,11.0,F,GBR
fn000081,0.3928571343421936,N000039,9.0,F,N-6531
fn000148,0.4236111044883728,N000070,9.0,M,N-5211
fn000150,0.4206896424293518,N000069,8.0,F,N-5211
fv160006,0.4758064448833465,V000013,23.0,F,B-100
fn000118,0.5570470094680786,N000056,9.0,M,N-5211
fn000140,0.5416666865348816,N000065,11.0,F,N-5211
fv160016,0.3565573692321777,V000044,16.0,F,B-830
fv160018,0.4571428596973419,V000027,14.0,F,B-115
fn000079,0.606217622756958,N000038,8.0,F,N-6531
fn000052,0.3636363744735718,N000027,9.0,M,N-6531
fn000120,0.5930736064910889,N000057,9.0,F,N-1011
fn000097,0.3070175349712372,N000046,13.0,M,N-6531
fn000093,0.1747572869062423,N000044,11.0,M,N-6531
fn000075,0.3545454442501068,N000036,8.0,M,N-6531
fn000069,0.239316239953041,N000033,8.0,F,N-6531
fv160002,1.0356082916259766,V000007,44.0,F,CG
fv160037,0.2341463416814804,V000073,11.0,M,B-300
fn100297,0.5306122303009033,N100073,83.0,F,N-1251
fn000065,0.2231404930353164,N000031,8.0,F,N-6531
fv160013,0.6335078477859497,V000015,22.0,F,B-180
fv160038,0.3990384638309479,V000052,36.0,F,B-510
fn100300,0.3250773847103119,N100074,82.0,F,N-1951
fv160049,0.4129464328289032,V000049,16.0,F,B-900
fn000138,0.2000000029802322,N000073,12.0,M,N-5211
fn000105,0.2387096732854843,N000050,12.0,F,N-1181
fn000152,0.2884615361690521,N000071,12.0,F,N-5211
